ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1469236,Source1,2,2022-03-19 00:29:47.998227,2022-03-19 04:14:47.998227,44.947154,-93.267897,,-93.269298,0.66,Site back key computer.,Joshua Locks,Minneapolis,Solomonstad,MN,95121,US,US/Eastern,KkCM,2022-03-19 00:06:47.998227,28.6,21.139136265955422,75.5,27.71,9.4,SSE,10.7,0.0,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,,Night,Night
A-7094311,Source1,3,2025-08-06 13:04:55.431738,2025-08-06 16:00:55.431738,29.389054,-98.529625,,-98.542431,1.158,Watch and glass lose crime.,Matthew Courts,San Antonio,Leahtown,TX,16832,US,US/Eastern,KExf,2025-08-06 12:44:55.431738,85.6,,51.6,31.36,5.9,S,7.1,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-9187511,Source1,2,2020-11-26 09:56:55.071294,2020-11-26 12:51:55.071294,45.266157,-93.078618,45.276552,-93.078507,1.123,Purpose her draw first.,Mills Parkway,Saint Paul,Sharonbury,MN,24772,US,US/Eastern,KvbW,2020-11-26 09:50:55.071294,53.2,,21.4,29.27,7.4,NNW,1.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1613569,Source1,2,2021-01-03 04:35:11.507697,2021-01-03 05:31:11.507697,33.923457,-118.345268,33.921507,,0.388,Want herself discussion tonight.,Carter Lodge,Los Angeles,Williamsfurt,CA,33821,US,US/Eastern,KKMF,2021-01-03 04:13:11.507697,9.8,-0.07475082143509937,69.3,29.92,6.4,West,14.1,0.0,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3563954,Source1,2,2024-08-05 16:29:33.723305,2024-08-05 18:26:33.723305,30.456352,-91.093716,,-91.089103,2.548,Analysis food she room why.,Andrea Ports,Baton Rouge,New Kevinfort,LA,72544,US,US/Eastern,KcYv,2024-08-05 16:14:33.723305,39.3,30.76129312017495,,30.73,2.6,ESE,12.3,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-325436,Source1,2,2020-04-09 22:35:54.264117,2020-04-09 23:25:54.264117,30.186161,-97.77691,30.190168,-97.777377,2.279,Ask anything direction partner.,Brown Ford,Austin,Port Rose,TX,62464,US,US/Eastern,KSdG,2020-04-09 22:22:54.264117,83.7,0.0,47.8,28.43,6.1,SSE,3.6,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,True,False,Night,Night,Night,Night
A-1665394,Source3,2,2025-03-06 16:43:08.258324,2025-03-06 17:14:08.258324,32.238942,-110.966337,,,2.943,Any left north.,James Stream,Tucson,Port Stacie,AZ,85453,US,US/Eastern,Kqne,2025-03-06 16:22:08.258324,74.1,0.0,83.1,28.22,6.1,CALM,8.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-9249610,Source2,2,2026-02-25 00:03:08.780912,2026-02-25 01:01:08.780912,25.811589,-80.240934,25.795187,,0.956,Fact ok about heart fish clear third.,Lucas Village,Miami,Port Brendanland,FL,20194,US,US/Eastern,KbeY,2026-02-24 23:38:08.780912,78.3,0.0,50.6,30.08,6.9,CALM,0.0,0.0,Fair,False,False,True,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-537451,Source1,2,2024-10-15 00:05:25.204905,2024-10-15 03:05:25.204905,29.460527,-98.59346,29.456778,-98.595169,0.199,Political probably choice where discussion area role oil.,Taylor Inlet,San Antonio,Juarezfurt,TX,43612,US,US/Eastern,KsZf,2024-10-14 23:49:25.204905,52.3,0.0,103.9,29.48,6.0,SSE,,0.0,Smoke,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-7019564,Source3,2,2025-12-03 19:12:37.045251,2025-12-03 19:40:37.045251,30.434103,-91.114545,30.433909,-91.118927,1.417,Difference exactly could.,Rachel Run,Baton Rouge,Ramirezhaven,LA,78247,US,US/Eastern,KRGo,2025-12-03 19:01:37.045251,40.9,36.53824167828924,60.0,28.46,5.4,WNW,6.2,0.0,Fair / Windy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
